topic-00	topic-01	topic-02	topic-03	topic-04
202.45695114135742	303.1883239746094	403.43284606933594	504.67371940612793	605.4036617279053
806.2384128570557	907.4814319610596	1007.723331451416	1108.9632511138916	1210.00337600708
1312.732219696045	1413.4612083435059	1514.1901969909668	1614.9189472198486	1716.646432876587
1817.8904056549072	1918.62154006958	2018.8629627227783	2119.5921897888184	2221.3222980499268
2322.052240371704	2422.2958087921143	2522.451639175415	2624.177932739258	2724.9088287353516
2826.63631439209	2927.367687225342	3028.0983448028564	3129.826307296753	3230.5548191070557
3330.799102783203	3432.5308799743652	3534.259557723999	3635.986089706421	3737.715005874634
3838.588237762451	3939.8279190063477	4040.0702953338623	4140.8021450042725	4241.533041000366
4343.259572982788	4444.990158081055	4545.718431472778	4647.446870803833	4748.177051544189
